Wavenumbers,Absorbance
899.327,0
903.187,1
907.047,1
910.907,1
914.767,1
918.627,1
922.487,1
926.347,1
930.207,1
934.067,1
937.927,1
941.787,1
945.647,1
949.507,1
953.367,1
957.227,1
961.087,1
964.947,1
968.807,1
972.667,1
976.527,1
980.387,1
984.247,1
988.107,1
991.967,1
995.827,1
999.687,1
1003.547,1
1007.407,1
1011.267,1
1015.127,1
1018.987,1
1022.847,1
1026.707,1
1030.567,1
1034.427,1
1038.287,1
1042.147,1
1046.007,1
1049.867,1
1053.727,1
1057.587,1
1061.447,1
1065.307,1
1069.167,1
1073.027,1
1076.887,1
1080.747,1
1084.607,1
1088.467,1
1092.327,1
1096.187,1
1100.047,1
1103.907,1
1107.767,1
1111.627,1
1115.487,1
1119.347,1
1123.207,1
1127.067,1
1130.927,1
1134.786,1
1138.646,1
1142.506,1
1146.366,1
1150.226,0
1154.086,0
1157.946,0
1161.806,0
1165.666,0
1169.526,0
1173.386,0
1177.246,0
1181.106,0
1184.966,0
1188.826,0
1192.686,0
1196.546,0
1200.406,0
1204.266,0
1208.126,0
1211.986,0
1215.846,0
1219.706,0
1223.566,0
1227.426,0
1231.286,0
1235.146,0
1239.006,0
1242.866,0
1246.726,0
1250.586,0
1254.446,0
1258.306,0
1262.166,0
1266.026,0
1269.886,0
1273.746,0
1277.606,0
1281.466,0
1285.326,0
1289.186,0
1293.046,0
1296.906,0
1300.766,0
1304.626,0
1308.486,0
1312.346,0
1316.206,0
1320.066,0
1323.926,0
1327.786,0
1331.646,0
1335.506,0
1339.366,0
1343.226,0
1347.086,0
1350.946,0
1354.806,0
1358.666,0
1362.526,0
1366.386,0
1370.246,0
1374.106,0
1377.966,0
1381.826,0
1385.686,0
1389.545,0
1393.405,0
1397.265,0
1401.125,0
1404.985,0
1408.845,0
1412.705,0
1416.565,0
1420.425,0
1424.285,0
1428.145,0
1432.005,0
1435.865,0
1439.725,0
1443.585,0
1447.445,0
1451.305,0
1455.165,0
1459.025,0
1462.885,0
1466.745,0
1470.605,0
1474.465,0
1478.325,0
1482.185,0
1486.045,0
1489.905,0
1493.765,0
1497.625,0
1501.485,0
1505.345,0
1509.205,0
1513.065,0
1516.925,0
1520.785,0
1524.645,0
1528.505,0
1532.365,0
1536.225,0
1540.085,0
1543.945,0
1547.805,0
1551.665,0
1555.525,0
1559.385,0
1563.245,0
1567.105,0
1570.965,0
1574.825,0
1578.685,0
1582.545,0
1586.405,0
1590.265,0
1594.125,0
1597.985,0
1601.845,0
1605.705,0
1609.565,0
1613.425,0
1617.285,0
1621.145,0
1625.005,0
1628.865,0
1632.725,0
1636.585,0
1640.445,0
1644.304,0
1648.164,0
1652.024,0
1655.884,0
1659.744,0
1663.604,0
1667.464,0
1671.324,0
1675.184,0
1679.044,0
1682.904,0
1686.764,0
1690.624,0
1694.484,0
1698.344,0
1702.204,0
1706.064,0
1709.924,0
1713.784,0
1717.644,0
1721.504,0
1725.364,0
1729.224,0
1733.084,0
1736.944,0
1740.804,0
1744.664,0
1748.524,0
1752.384,0
1756.244,0
1760.104,0
1763.964,0
1767.824,0
1771.684,0
1775.544,0
1779.404,0
1783.264,0
1787.124,0
1790.984,0
1794.844,0
1798.704,0
1802.564,0
