Wavenumbers,Absorbance
899.327,0
903.187,0
907.047,0
910.907,0
914.767,0
918.627,0
922.487,0
926.347,0
930.207,0
934.067,0
937.927,0
941.787,0
945.647,0
949.507,0
953.367,0
957.227,0
961.087,0
964.947,0
968.807,0
972.667,0
976.527,0
980.387,0
984.247,0
988.107,0
991.967,0
995.827,0
999.687,0
1003.547,0
1007.407,0
1011.267,0
1015.127,0
1018.987,0
1022.847,0
1026.707,0
1030.567,0
1034.427,0
1038.287,0
1042.147,0
1046.007,0
1049.867,0
1053.727,0
1057.587,0
1061.447,0
1065.307,0
1069.167,0
1073.027,0
1076.887,0
1080.747,0
1084.607,0
1088.467,0
1092.327,0
1096.187,0
1100.047,0
1103.907,0
1107.767,0
1111.627,0
1115.487,0
1119.347,0
1123.207,0
1127.067,0
1130.927,0
1134.786,0
1138.646,0
1142.506,0
1146.366,0
1150.226,0
1154.086,0
1157.946,0
1161.806,0
1165.666,0
1169.526,0
1173.386,0
1177.246,0
1181.106,0
1184.966,0
1188.826,0
1192.686,0
1196.546,0
1200.406,0
1204.266,0
1208.126,0
1211.986,0
1215.846,0
1219.706,0
1223.566,0
1227.426,0
1231.286,0
1235.146,0
1239.006,0
1242.866,0
1246.726,0
1250.586,0
1254.446,0
1258.306,0
1262.166,0
1266.026,0
1269.886,0
1273.746,0
1277.606,0
1281.466,0
1285.326,0
1289.186,0
1293.046,0
1296.906,0
1300.766,0
1304.626,0
1308.486,0
1312.346,0
1316.206,0
1320.066,0
1323.926,0
1327.786,0
1331.646,0
1335.506,0
1339.366,0
1343.226,0
1347.086,0
1350.946,0
1354.806,0
1358.666,0
1362.526,0
1366.386,0
1370.246,0
1374.106,0
1377.966,0
1381.826,0
1385.686,0
1389.545,0
1393.405,0
1397.265,0
1401.125,0
1404.985,0
1408.845,0
1412.705,0
1416.565,0
1420.425,0
1424.285,0
1428.145,0
1432.005,0
1435.865,0
1439.725,0
1443.585,0
1447.445,0
1451.305,0
1455.165,0
1459.025,0
1462.885,0
1466.745,0
1470.605,0
1474.465,0
1478.325,0
1482.185,0
1486.045,0
1489.905,0
1493.765,0
1497.625,0
1501.485,0
1505.345,0
1509.205,0
1513.065,0
1516.925,0
1520.785,0
1524.645,0
1528.505,0
1532.365,0
1536.225,0
1540.085,0
1543.945,0
1547.805,0
1551.665,0
1555.525,0
1559.385,0
1563.245,0
1567.105,0
1570.965,0
1574.825,0
1578.685,0
1582.545,0
1586.405,0
1590.265,0
1594.125,0
1597.985,0
1601.845,0
1605.705,0
1609.565,0
1613.425,0
1617.285,0
1621.145,0
1625.005,0
1628.865,0
1632.725,0
1636.585,0
1640.445,0
1644.304,0
1648.164,0
1652.024,0
1655.884,0
1659.744,0
1663.604,0
1667.464,0
1671.324,0
1675.184,0
1679.044,0
1682.904,0
1686.764,0
1690.624,0
1694.484,0
1698.344,0
1702.204,0
1706.064,0
1709.924,0
1713.784,0
1717.644,0
1721.504,0
1725.364,0
1729.224,0
1733.084,1
1736.944,1
1740.804,1
1744.664,1
1748.524,1
1752.384,0
1756.244,0
1760.104,0
1763.964,0
1767.824,0
1771.684,0
1775.544,0
1779.404,0
1783.264,0
1787.124,0
1790.984,0
1794.844,0
1798.704,0
1802.564,0
